ubicación,Genero,edad,Nombre_auto,Año_vehiculo,Millas_auto,Precio_auto,Precio_poliza,Tipo_poliza
zona 1 fuera de la ciudad,Masculino,60, Mitsubishi Mirage,2015,103833,10990.00,750.62,contra terceros
zona 1 fuera de la ciudad,Masculino,42, Ford Focus,2015,93067,11590.00,791.60,contra terceros
zona 1 fuera de la ciudad,Masculino,84, Ford Focus,2015,93067,11590.00,791.60,contra terceros
zona 1 fuera de la ciudad,Femenino,46, Chrysler Sebring,2020,65923,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,49, Chevrolet Cruze,2014,90393,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,67, Ford Fiesta,2015,68594,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,62, Chrysler Sebring,2017,65923,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,65, smart fortwo,2017,82396,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,61, Ford Fiesta,2021,68594,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,56, Mitsubishi i-MiEV,2021,47844,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,90, Mitsubishi i-MiEV,2015,47844,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,36, Ford Fiesta,2022,106396,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,65, Ford Fiesta,2018,106396,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,42, Ford Fiesta,2019,100592,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,27, Kia Rio,2021,105151,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,42, Ford Focus,2016,53180,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,28, Ford Fiesta,2018,97116,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,37, Ford Fiesta,2013,71266,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,68, Ford Focus,2010,105006,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,88, Nissan Versa,2011,100537,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,48, FIAT ,2015,73444,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,78, Ford Focus,2020,105006,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,22, Ford Fiesta,2014,100172,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,18, Ford Fiesta,2010,100172,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,30, Chrysler Sebring,2022,61229,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,88, Chrysler Sebring,2020,61229,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,85, MAZDA MAZDA,2022,90162,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,84, MAZDA MAZDA,2014,90162,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,53, Ford Fusion,2018,74232,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,54, Chrysler Sebring,2013,61229,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,23, Ford Fusion,2011,64232,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,30, Kia Forte,2019,102251,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,82, MAZDA MAZDA,2014,90162,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,26, Kia Forte,2022,102251,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,79, Chrysler Sebring,2020,61229,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,52, MAZDA MAZDA,2016,90162,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,63, MAZDA MAZDA,2018,90993,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,24, MAZDA MAZDA,2017,90993,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,23, Chevrolet Spark,2021,101169,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,52, Chrysler Sebring,2016,61229,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,22, MAZDA MAZDA,2015,90993,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,30, Chrysler Sebring,2017,61229,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,45, Kia Forte,2019,102251,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,89, MAZDA MAZDA,2021,90993,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,69, MAZDA MAZDA,2016,90162,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Masculino,73, Chrysler Sebring,2022,61229,11990.00,818.92,contra terceros
zona 1 fuera de la ciudad,Femenino,18, Hyundai Elantra,2021,103464,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,79, Nissan Versa,2010,82983,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,72, Buick LaCrosse,2017,100275,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,78, Buick LaCrosse,2022,100275,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,34, Nissan Versa,2017,82983,12590.00,859.90,contra terceros
