oid,id,Material,Fecha_instalacion,Diametro_pulgadas,Longitud_millas,Tiempo_vida,others
1,segmento 1,Plomo,209816019,3.0,9.599673865,37.38175208,
2,segmento 2,Hierro fundido,823913677,6.0,3.663162453,74.99713273,
3,segmento 3,Plomo,675206837,1.25,9.63487812,40.97370613,
4,segmento 4,Cloruro de polivinilo,9381258,0.25,8.106743024,9.510097356,
5,segmento 5,Hierro ductil,104417064,1.25,5.178490668,43.12096613,
6,segmento 6,Plomo,1229611762,2.5,1.639861709,46.84088573,
7,segmento 7,Alta densidad plomo,1244608667,1.5,1.622833759,50.31369552,
8,segmento 8,Polietileno,1262763425,1.25,4.083803023,40.45473404,
9,segmento 9,Plomo,631880455,8.0,2.288113001,42.75615859,
10,segmento 10,Cloruro de polivinilo,789962604,2.0,6.033538212,30.51724777,
11,segmento 11,Polietileno,1022756497,0.25,2.358634981,28.04951778,
12,segmento 12,Hierro fundido,553235992,1.5,6.666787483,65.55458114,
13,segmento 13,Polietileno,216061896,6.0,1.838433796,27.69266284,
14,segmento 14,Cloruro de polivinilo,352347772,6.0,3.427907585,26.08957593,
15,segmento 15,Alta densidad plomo,43097633,125.0,1.510064964,19.35953222,
16,segmento 16,Polietileno,101950755,1.0,4.198175362,17.97826173,
17,segmento 17,Plomo,977921986,0.25,9.335290663,39.98663025,
18,segmento 18,Cloruro de polivinilo,1277156981,8.0,3.960175941,44.8802037,
19,segmento 19,Hierro ductil,1549405981,1.25,0.906392246,65.3724078,
20,segmento 20,Cobre,119130974,1.5,7.780230081,52.98379251,
21,segmento 21,Cloruro de polivinilo,760660445,5.0,5.084546235,34.01993823,
22,segmento 22,Cloruro de polivinilo,1143293212,4.0,0.963493835,35.64211376,
23,segmento 23,Cloruro de polivinilo,1521607515,0.75,5.224340324,38.15145715,
24,segmento 24,Hierro fundido,642277890,0.25,6.642349806,59.66696711,
25,segmento 25,Hierro ductil,1495042016,0.5,9.469285315,69.27229174,
26,segmento 26,Cloruro de polivinilo,1569926245,12.0,4.684545133,53.49456845,
